iter	Passed	Remaining
679	11764	3425
680	11784	3408
681	11797	3390
682	11812	3372
683	11827	3354
684	11842	3336
685	11857	3318
686	11872	3300
687	11887	3282
688	11902	3265
689	11921	3248
690	11936	3230
691	11954	3213
692	11971	3195
693	11985	3177
694	12000	3159
695	12015	3142
696	12029	3123
697	12043	3105
698	12058	3087
699	12073	3070
700	12088	3052
701	12104	3034
702	12119	3016
703	12138	3000
704	12152	2982
705	12168	2964
706	12182	2946
707	12198	2928
708	12218	2912
709	12235	2895
710	12251	2877
711	12266	2859
712	12283	2842
713	12298	2824
714	12315	2807
715	12330	2789
716	12350	2773
717	12366	2755
718	12382	2738
719	12401	2721
720	12417	2703
721	12432	2686
722	12450	2669
723	12464	2651
724	12478	2633
725	12495	2616
726	12510	2598
727	12524	2580
728	12539	2562
729	12553	2545
730	12567	2527
731	12583	2509
732	12599	2492
733	12617	2475
734	12631	2457
735	12648	2440
736	12664	2423
737	12680	2405
738	12697	2388
739	12713	2370
740	12729	2353
741	12745	2336
742	12761	2318
743	12776	2301
744	12790	2283
745	12807	2266
746	12821	2248
747	12836	2230
748	12852	2213
749	12867	2196
750	12882	2178
751	12898	2161
752	12913	2143
753	12928	2126
754	12941	2108
755	12959	2091
756	12974	2073
757	12989	2056
758	13005	2039
759	13021	2021
760	13036	2004
761	13050	1986
762	13065	1969
763	13081	1951
764	13096	1934
765	13111	1917
766	13131	1900
767	13148	1883
768	13165	1866
769	13181	1848
770	13198	1831
771	13215	1814
772	13229	1797
773	13246	1779
774	13261	1762
775	13277	1745
776	13293	1727
777	13311	1710
778	13331	1694
779	13346	1676
780	13363	1659
781	13378	1642
782	13392	1624
783	13410	1607
784	13428	1590
785	13443	1573
786	13458	1556
787	13472	1538
788	13489	1521
789	13504	1504
790	13522	1487
791	13537	1470
792	13552	1452
793	13569	1435
794	13588	1418
795	13606	1401
796	13622	1384
797	13636	1367
798	13652	1349
799	13668	1332
800	13684	1315
801	13699	1298
802	13716	1281
803	13733	1263
804	13747	1246
805	13762	1229
806	13776	1212
807	13793	1194
808	13809	1177
809	13824	1160
810	13842	1143
811	13858	1126
812	13874	1109
813	13886	1091
814	13899	1074
815	13911	1057
816	13923	1039
817	13939	1022
818	13959	1005
819	13974	988
820	13988	971
821	14002	953
822	14015	936
823	14026	919
824	14040	901
825	14055	884
826	14070	867
827	14084	850
828	14098	833
829	14111	816
830	14124	798
831	14136	781
832	14148	764
833	14160	747
834	14170	729
835	14181	712
836	14193	695
837	14203	677
838	14215	660
13608	531
845	13624	515
846	13639	499
847	13654	483
848	13669	466
849	13683	450
850	13697	434
851	13710	418
852	13724	402
853	13741	386
854	13758	370
855	13772	353
856	13786	337
857	13800	321
858	13815	305
859	13832	289
860	13846	273
861	13862	257
862	13876	241
863	13889	225
864	13900	208
865	13913	192
866	13925	176
867	13939	160
868	13957	144
869	13971	128
870	13985	112
871	13999	96
872	14012	80
873	14025	64
874	14043	48
875	14054	32
876	14067	16
877	14080	0
